coin_id,n_hours,direction_accuracy,direction_accuracy_pct,total_hits,total_misses,pred_UP_count,pred_UP_correct,pred_UP_accuracy,pred_DOWN_count,pred_DOWN_correct,pred_DOWN_accuracy
pepe,167,0.9162,91.6%,153,14,0,0,N/A,0,0,N/A
shiba-inu,167,0.8383,83.8%,140,27,1,0,0.0%,1,0,0.0%
binance-bridged-usdt-bnb-smart-chain,167,0.4731,47.3%,79,88,80,38,47.5%,86,40,46.5%
ethena-usde,167,0.4731,47.3%,79,88,76,40,52.6%,91,39,42.9%
uniswap,167,0.4731,47.3%,79,88,86,38,44.2%,81,41,50.6%
tether,167,0.4671,46.7%,78,89,82,36,43.9%,85,42,49.4%
solana,167,0.4611,46.1%,77,90,91,40,44.0%,76,37,48.7%
bitget-token,167,0.4491,44.9%,75,92,82,35,42.7%,85,40,47.1%
tether-gold,167,0.4491,44.9%,75,92,47,18,38.3%,120,57,47.5%
okb,167,0.4491,44.9%,75,92,86,34,39.5%,81,41,50.6%
sui,167,0.4431,44.3%,74,93,50,22,44.0%,117,52,44.4%
chainlink,167,0.4431,44.3%,74,93,68,24,35.3%,99,50,50.5%
jito-staked-sol,167,0.4371,43.7%,73,94,86,37,43.0%,81,36,44.4%
ethereum-classic,167,0.4371,43.7%,73,94,87,37,42.5%,80,36,45.0%
weth,167,0.4311,43.1%,72,95,83,39,47.0%,84,33,39.3%
ripple,167,0.4311,43.1%,72,95,79,35,44.3%,87,37,42.5%
ethereum,167,0.4311,43.1%,72,95,88,41,46.6%,79,31,39.2%
bittensor,167,0.4251,42.5%,71,96,76,28,36.8%,91,43,47.3%
internet-computer,167,0.4251,42.5%,71,96,86,38,44.2%,81,33,40.7%
bitcoin-cash,167,0.4251,42.5%,71,96,49,23,46.9%,118,48,40.7%
leo-token,167,0.4251,42.5%,71,96,100,44,44.0%,67,27,40.3%
the-open-network,167,0.4192,41.9%,70,97,134,55,41.0%,33,15,45.5%
aptos,167,0.4192,41.9%,70,97,87,36,41.4%,80,34,42.5%
paypal-usd,167,0.4192,41.9%,70,97,79,34,43.0%,87,36,41.4%
tron,167,0.4192,41.9%,70,97,76,31,40.8%,91,39,42.9%
wrapped-steth,167,0.4132,41.3%,69,98,85,34,40.0%,82,35,42.7%
usd-coin,167,0.4072,40.7%,68,99,85,36,42.4%,80,31,38.8%
pax-gold,167,0.4072,40.7%,68,99,73,31,42.5%,94,37,39.4%
polkadot,167,0.4072,40.7%,68,99,83,34,41.0%,84,34,40.5%
stellar,167,0.4072,40.7%,68,99,92,37,40.2%,74,31,41.9%
bitcoin,167,0.4012,40.1%,67,100,78,36,46.2%,89,31,34.8%
usds,167,0.4012,40.1%,67,100,80,29,36.2%,86,37,43.0%
zcash,167,0.3952,39.5%,66,101,47,16,34.0%,120,50,41.7%
pi-network,167,0.3952,39.5%,66,101,87,27,31.0%,80,39,48.8%
litecoin,167,0.3952,39.5%,66,101,83,36,43.4%,84,30,35.7%
usd1-wlfi,167,0.3952,39.5%,66,101,86,34,39.5%,81,32,39.5%
kaspa,167,0.3892,38.9%,65,102,92,35,38.0%,74,30,40.5%
whitebit,167,0.3892,38.9%,65,102,83,29,34.9%,84,36,42.9%
mantle,167,0.3892,38.9%,65,102,82,30,36.6%,85,35,41.2%
ondo-finance,167,0.3892,38.9%,65,102,99,39,39.4%,68,26,38.2%
staked-ether,167,0.3832,38.3%,64,103,80,34,42.5%,87,30,34.5%
avalanche-2,167,0.3832,38.3%,64,103,87,35,40.2%,80,29,36.2%
cardano,167,0.3832,38.3%,64,103,73,27,37.0%,94,37,39.4%
crypto-com-chain,167,0.3832,38.3%,64,103,82,32,39.0%,85,32,37.6%
near,167,0.3832,38.3%,64,103,82,31,37.8%,85,33,38.8%
hyperliquid,167,0.3772,37.7%,63,104,78,30,38.5%,89,33,37.1%
monero,167,0.3772,37.7%,63,104,76,26,34.2%,91,37,40.7%
hedera-hashgraph,167,0.3772,37.7%,63,104,82,30,36.6%,85,33,38.8%
dai,167,0.3593,35.9%,60,107,86,29,33.7%,81,31,38.3%
coinbase-wrapped-btc,167,0.3593,35.9%,60,107,86,30,34.9%,81,30,37.0%
wrapped-eeth,167,0.3593,35.9%,60,107,81,33,40.7%,86,27,31.4%
binancecoin,167,0.3473,34.7%,58,109,43,15,34.9%,124,43,34.7%
dogecoin,167,0.3353,33.5%,56,111,75,23,30.7%,90,33,36.7%
aave,167,0.3293,32.9%,55,112,79,25,31.6%,88,30,34.1%
hashnote-usyc,95,0.1158,11.6%,11,84,42,4,9.5%,53,7,13.2%
blackrock-usd-institutional-digital-liquidity-fund,167,0.0,0.0%,0,167,80,0,0.0%,87,0,0.0%
