coin_id,n_hours,first_predicted,first_real,last_predicted,last_real,pred_trend,real_trend,trend_correct,bias_pct,mae_pct,max_error_pct,median_error_pct
blackrock-usd-institutional-digital-liquidity-fund,168,0.999992,1.0,1.000001,1.0,UP,FLAT,NO,-0.0001,0.0009,0.0034,0.0007
usds,168,0.99984,0.999803,0.999882,0.999763,UP,DOWN,NO,-0.0108,0.0112,0.0334,0.0112
dai,168,0.999952,0.999891,0.999956,0.999778,UP,DOWN,NO,-0.0034,0.0125,0.0477,0.009
usd-coin,168,0.999904,0.999798,0.999919,0.999828,UP,UP,YES,-0.014,0.014,0.0243,0.0139
tether,168,1.000185,1.000209,1.000056,1.000393,DOWN,UP,NO,0.0181,0.0189,0.0416,0.0185
paypal-usd,168,0.999454,0.999203,0.999883,0.999558,UP,UP,YES,-0.0402,0.0403,0.1082,0.0398
ethena-usde,168,1.001418,1.001165,0.999972,1.001143,DOWN,DOWN,YES,0.0233,0.0562,0.2494,0.0499
binance-bridged-usdt-bnb-smart-chain,168,1.000017,1.000854,1.000024,1.001018,UP,UP,YES,0.0232,0.0932,0.5138,0.0498
usd1-wlfi,168,1.003303,1.002394,1.003422,1.000442,UP,DOWN,NO,-0.347,0.3511,1.0046,0.3312
hashnote-usyc,96,1.094954,1.088774,1.094964,1.088579,UP,DOWN,NO,-0.5851,0.5851,0.6557,0.5844
whitebit,168,31.909667,31.911931,31.697086,31.26869,DOWN,DOWN,YES,-0.3227,1.064,2.5413,0.943
tron,168,0.271817,0.271177,0.269805,0.266106,DOWN,DOWN,YES,1.0658,1.3487,3.4413,1.1613
leo-token,168,8.811682,8.81385,8.923134,8.619932,UP,DOWN,NO,0.1154,1.44,4.1685,1.3818
bitcoin,168,108672.836069,108891.008497,107954.315608,104542.702041,DOWN,DOWN,YES,-0.3908,1.47,4.2055,1.2359
binancecoin,168,675.971234,676.208501,680.125279,657.563167,UP,DOWN,NO,-0.9378,1.5026,4.4881,1.1397
coinbase-wrapped-btc,168,107084.616139,107823.03682,106589.196713,104472.376394,DOWN,DOWN,YES,0.7492,1.8024,3.5679,1.9676
okb,168,52.958298,52.104952,52.769434,50.389848,DOWN,DOWN,YES,-1.9701,1.9701,5.3725,1.418
wrapped-eeth,168,2768.891378,2698.479885,2768.18999,2710.643424,DOWN,UP,NO,0.076,2.3224,6.6171,2.0801
weth,168,2644.126178,2527.687612,2643.274409,2539.107223,DOWN,UP,NO,-1.8781,2.6114,6.3719,2.8747
pax-gold,168,3426.816129,3362.748229,3415.995617,3300.353453,DOWN,DOWN,YES,-2.6202,2.6202,4.1371,2.8975
crypto-com-chain,168,0.095985,0.09614,0.095815,0.108178,DOWN,UP,NO,2.0175,2.7254,12.903,1.6187
tether-gold,168,3428.172051,3357.149247,3413.521073,3293.611087,DOWN,DOWN,YES,-2.8363,2.8363,4.3687,3.1122
mantle,168,0.726667,0.734419,0.723551,0.670827,DOWN,DOWN,YES,-1.8337,2.9349,10.8723,1.5826
cardano,168,0.755724,0.756393,0.74612,0.685972,DOWN,DOWN,YES,-1.2678,3.0609,11.2582,1.9019
shiba-inu,168,1.4e-05,1.4e-05,1.4e-05,1.3e-05,FLAT,DOWN,NO,-0.5952,3.0612,14.2857,0.0
stellar,168,0.286843,0.287506,0.292792,0.266254,UP,DOWN,NO,-3.0924,3.1129,11.2255,1.865
litecoin,168,96.691453,96.592031,96.634327,87.339357,DOWN,DOWN,YES,-3.0018,3.1211,13.0392,1.5886
chainlink,168,15.488958,15.504748,15.550306,14.096174,UP,DOWN,NO,-2.6591,3.6087,13.1441,1.8806
avalanche-2,168,22.863912,22.920678,22.930543,20.863704,UP,DOWN,NO,-1.3767,3.6317,12.7453,2.6221
the-open-network,168,3.01082,3.012456,3.138477,3.13039,UP,UP,YES,3.1175,3.8106,21.2296,1.4904
dogecoin,168,0.227372,0.22768,0.22281,0.192785,DOWN,DOWN,YES,-3.3303,3.9954,16.4268,1.7418
polkadot,168,4.545956,4.54465,4.548109,4.092313,UP,DOWN,NO,-3.8757,4.2205,27.5223,1.8563
sui,168,3.64132,3.640738,3.669618,3.250896,UP,DOWN,NO,-4.1385,4.3327,15.7476,3.3927
hedera-hashgraph,168,0.189364,0.190046,0.188884,0.167954,DOWN,DOWN,YES,-4.4064,4.7134,14.7542,3.4336
ripple,168,2.349231,2.348913,2.433167,2.189781,UP,DOWN,NO,-5.1518,5.1518,13.1489,4.1531
uniswap,168,6.201168,6.120334,6.179569,6.12034,DOWN,UP,NO,4.5313,5.7878,21.789,5.2411
solana,168,176.86879,176.888264,160.957442,156.504243,DOWN,DOWN,YES,5.7251,6.6961,12.8444,7.2593
bitget-token,168,4.912658,5.601028,4.917063,4.72713,UP,DOWN,NO,5.4043,6.9022,14.0122,7.303
bitcoin-cash,168,425.660197,426.037041,369.987628,417.57733,DOWN,DOWN,YES,8.0112,8.0517,14.9948,8.2486
hyperliquid,168,35.195372,35.292352,32.40767,32.839477,DOWN,DOWN,YES,7.9502,8.5408,20.9003,6.6227
monero,168,401.288316,402.354137,388.569291,323.55784,DOWN,DOWN,YES,-6.1072,9.0853,19.8298,10.6629
zcash,168,47.221659,47.420722,45.224448,49.866619,DOWN,UP,NO,11.6816,11.6816,20.542,12.7045
bittensor,168,487.583004,432.266875,487.257151,428.914958,DOWN,DOWN,YES,-12.4186,12.4186,23.7741,11.4908
pepe,168,1.2e-05,1.4e-05,1.2e-05,1.2e-05,FLAT,DOWN,NO,11.8552,13.0456,25.0,16.6667
near,168,3.193373,2.778208,3.1822,2.42076,DOWN,DOWN,YES,-14.3271,14.3271,25.756,12.4944
