coin_id,pred_pct,real_pct,pred_direction,real_direction,n_hours,direction_correct,magnitude_error
aave,0.01,-3.611630947632807,FLAT,DOWN,168,False,3.6216309476328066
aptos,-0.06,-10.973925369477257,FLAT,DOWN,168,False,10.913925369477257
avalanche-2,-4.39,-8.974315681237703,DOWN,DOWN,168,True,4.584315681237704
binance-bridged-usdt-bnb-smart-chain,0.03,0.016386006350581902,FLAT,FLAT,168,True,0.013613993649418097
binancecoin,-16.68,-2.757335048646473,DOWN,DOWN,168,True,13.922664951353527
bitcoin,-0.45,-3.9932649316217907,DOWN,DOWN,168,True,3.5432649316217906
bitcoin-cash,-6.11,-1.985674996742823,DOWN,DOWN,168,True,4.124325003257177
bitget-token,-0.25,-15.602457263202407,DOWN,DOWN,168,True,15.352457263202407
bittensor,-1.56,-0.7754276799488775,DOWN,DOWN,168,True,0.7845723200511225
blackrock-usd-institutional-digital-liquidity-fund,-0.01,0.0,FLAT,FLAT,168,True,0.01
cardano,-6.81,-9.310107311939687,DOWN,DOWN,168,True,2.5001073119396873
chainlink,-6.1,-9.084791316827593,DOWN,DOWN,168,True,2.984791316827593
crypto-com-chain,0.57,12.521323070522147,UP,UP,168,True,11.951323070522147
dai,0.01,-0.01130123183427291,FLAT,FLAT,168,True,0.02130123183427291
dogecoin,-8.88,-15.326335207308494,DOWN,DOWN,168,True,6.446335207308493
ethena-usde,-0.07,-0.0021974399824393116,FLAT,FLAT,168,True,0.0678025600175607
ethereum,0.61,-0.54144050479159,UP,DOWN,168,False,1.1514405047915899
ethereum-classic,7.06,-7.3773303916310855,UP,DOWN,168,False,14.437330391631086
hashnote-usyc,0.17,-0.017910052958643872,UP,FLAT,96,False,0.18791005295864388
hedera-hashgraph,-0.09,-11.624554055333974,FLAT,DOWN,168,False,11.534554055333974
hyperliquid,-3.6,-6.950160193347268,DOWN,DOWN,168,True,3.3501601933472682
internet-computer,5.86,-6.019299564730105,UP,DOWN,168,False,11.879299564730104
kaspa,-0.43,-21.587907657803765,DOWN,DOWN,168,True,21.157907657803765
leo-token,1.9,-2.2001508988693934,UP,DOWN,168,False,4.100150898869393
litecoin,4.49,-9.579127702574137,UP,DOWN,168,False,14.069127702574137
mantle,1.58,-8.65881737809072,UP,DOWN,168,False,10.23881737809072
monero,-10.56,-19.583816780787814,DOWN,DOWN,168,True,9.023816780787813
near,-0.39,-12.866135292965819,DOWN,DOWN,168,True,12.476135292965818
okb,0.7,-3.291633394077394,UP,DOWN,168,False,3.991633394077394
ondo-finance,8.19,-11.208185594595681,UP,DOWN,168,False,19.39818559459568
pax-gold,-1.73,-1.8554697453087157,DOWN,DOWN,168,True,0.12546974530871569
paypal-usd,0.05,0.03552831606790554,FLAT,FLAT,168,True,0.014471683932094463
pepe,-0.01,-14.285714285714283,FLAT,DOWN,168,False,14.275714285714283
pi-network,1.79,-16.08157026891538,UP,DOWN,168,False,17.87157026891538
polkadot,0.41,-9.953175712101043,UP,DOWN,168,False,10.363175712101043
ripple,-4.9,-6.774708130952489,DOWN,DOWN,168,True,1.874708130952489
shiba-inu,-0.23,-7.142857142857147,DOWN,DOWN,168,True,6.912857142857146
solana,4.59,-11.523670671560206,UP,DOWN,168,False,16.113670671560207
stellar,-1.72,-7.391845735393346,DOWN,DOWN,168,True,5.6718457353933465
sui,-14.8,-10.707774083166651,DOWN,DOWN,168,True,4.09222591683335
tether,-0.01,0.018396155203580854,FLAT,FLAT,168,True,0.028396155203580853
tether-gold,-36.65,-1.8926224402081107,DOWN,DOWN,168,True,34.75737755979189
the-open-network,27.35,3.9148787567353676,UP,UP,168,True,23.435121243264632
tron,-2.17,-1.8699963492479055,DOWN,DOWN,168,True,0.30000365075209445
uniswap,0.63,9.803386547123881e-05,UP,FLAT,168,False,0.6299019661345288
usd-coin,-0.0,0.0030006061224452855,FLAT,FLAT,168,True,0.0030006061224452855
usd1-wlfi,0.62,-0.19473380726540201,UP,DOWN,168,False,0.814733807265402
usds,-0.0,-0.004000788155270589,FLAT,FLAT,168,True,0.004000788155270589
whitebit,-0.27,-2.0156755791431102,DOWN,DOWN,168,True,1.7456755791431102
zcash,-24.79,5.157865373707305,DOWN,UP,168,False,29.947865373707305
coinbase-wrapped-btc,-0.45,-3.107555235708661,DOWN,DOWN,168,True,2.657555235708661
jito-staked-sol,4.59,-10.845038765779623,UP,DOWN,168,False,15.435038765779623
staked-ether,0.61,0.5141976033613784,UP,UP,168,True,0.09580239663862156
weth,0.61,0.4517809457856299,UP,UP,168,True,0.1582190542143701
wrapped-eeth,0.61,0.45075522213869207,UP,UP,168,True,0.15924477786130792
wrapped-steth,0.61,0.2931270229625232,UP,UP,168,True,0.3168729770374768
